Timestamp,UserID,Event Name,UUID,Param/wonGame,Param/causeOfDeath,Param/deathLocation,Param/enemiesKilled,Param/gameTime,Param/noOfDeaths,Param/overallDamageTaken,Param/noOfTeleports,Param/timeTillfirstTeleport,Param/avgTimeSpentTeleporting
21/11/2023 17:53:33,NULL,runEnded,8c9fa7cd7f99cae3d92b87770cf6378e,False,Enemy (6)'s Bullet,Room3,6,15.98,1,135,6,0.61,0.21
21/11/2023 17:54:00,NULL,runEnded,6b698666602ae8d3f4f0a5742d173a5b,True,,,23,26.64,1,240,23,1.88,0.199999988
21/11/2023 18:00:56,Test,runEnded,8a9c083f8b05a25e5e2be98bc5c1be06,False,Enemy (7)'s Bullet,Room3,7,14.9699993,1,150,10,1.22,0.179999992
21/11/2023 18:01:24,Test,runEnded,a090409a3061d81bb3e2040dd749f079,True,,,17,27.82,1,315,28,0.82,0.19
28/11/2023 13:54:05,Scotty too hotty,runEnded,94b5467f187cc7c88bcd50fd2721f641,True,,,18,56.94,0,210,23,4.81999969,0.68
28/11/2023 13:54:13,Scotty too hotty,runEnded,4560cbd3f2a8cc42d4983f70f1e54d36,True,,,18,56.94,1,210,87,4.81999969,0.229999989
28/11/2023 13:54:15,Scotty too hotty,runEnded,fdaab193be2d2fd2828eda762e0eea62,True,,,0,0,2,210,100,0,0.22
28/11/2023 14:43:49,NULL,runEnded,6238e4cc9b767f7a7a108022431ff81a,False,Fell off the world.,Room0,0,4.08,1,0,7,0.57,0.32
28/11/2023 14:44:09,NULL,runEnded,3ccb79d58dd15fb951ca49cd93dbe4dd,True,,,0,20.02,1,15,47,1.57999992,0.17
28/11/2023 14:48:16,NULL,runEnded,73fcb008cb27dbefbd97e6eb217e61f0,True,,,2,25.34,0,90,15,10.33,0.26
28/11/2023 14:51:48,NULL,runEnded,85ab02090fafe5f56b030ec257cf1ff8,True,,,19,33.34,0,150,21,0.669999957,0.299999982
28/11/2023 14:57:06,NULL,runEnded,1e3530c91f8ebed77dfced249cf01397,True,,,3,16.3,0,15,26,0.47,0.16
28/11/2023 14:58:04,NULL,runEnded,1b09414d2563b99d42fe67e974ff7bf4,True,,,19,34.68,0,90,45,4.00999975,0.16
28/11/2023 15:03:42,NULL,runEnded,cac57ce5620dee44ae47ee6abadc08df,True,,,19,35.76,0,165,21,0.53,0.359999985
28/11/2023 15:03:56,NULL,runEnded,baaf4dd6061cb684936ba705d275ab0e,True,,,19,35.76,1,165,42,0.53,0.24
28/11/2023 15:03:59,NULL,runEnded,4302509b9b8731bc803ff5edfb1e73e6,True,,,0,0,2,165,48,0,0.229999989
28/11/2023 15:22:46,NULL,runEnded,cec957e372af113f818b335f14e488a5,False,Enemy (18)'s Bullet,Room4,0,35.92,1,150,19,4.89,0.24
28/11/2023 15:23:53,NULL,runEnded,a36efb0b767704e858819d6986f7e102,False,Enemy (18)'s Bullet,Room0,0,27.74,1,105,9,0.55,0.21
28/11/2023 15:24:18,NULL,runEnded,d9ae773ee0bc25796ad6449826185b16,False,Fell off the world.,Room4,0,25,2,105,35,0.909999967,0.21
28/11/2023 15:48:12,NULL,runEnded,b9892b9ddacfdc03ee27b0b544a6d22d,False,Enemy (11)'s Bullet,Room4,9,26.3599987,1,135,6,1.15,0.28
28/11/2023 15:51:21,NULL,runEnded,267ced240a8a99eca4c8ba2eee73453c,False,Enemy (7)'s Bullet,Room3,7,26.039999,1,135,7,1.02,0.22
28/11/2023 15:51:44,NULL,runEnded,f6c060e40c9f0cde3c08da2104a9bd01,False,Enemy's Bullet,,1,8.38,1,105,0,0,NaN
28/11/2023 15:54:40,NULL,runEnded,f779e7efe60c83d72e4b0758b5b524a1,False,Enemy (3)'s Bullet,Room1,3,18.8599987,1,120,2,4.06999969,0.31
28/11/2023 16:12:52,NULL,runEnded,cee5c9b1f730ff1b77931e6e49238af9,False,Enemy (4)'s Bullet,Room2,4,22.72,1,150,4,2.62999988,0.59
28/11/2023 16:13:01,NULL,runEnded,e2b49c6d2e95ffbff60da28a9f9cce16,False,Enemy (1)'s Bullet,Room2,1,8.72,2,255,4,2.62999988,0.59
28/11/2023 16:13:10,NULL,runEnded,bcbb8582521b8ce5f2e0eee4f14bb834,False,Enemy (1)'s Bullet,Room2,1,9.54,3,360,4,2.62999988,0.59
28/11/2023 16:14:19,NULL,runEnded,0c426d2a8d39489568582ae7ad3ed29a,False,Enemy (2)'s Bullet,Room1,2,29.1799984,1,150,3,0.5,0.61
28/11/2023 16:14:28,NULL,runEnded,761657356964712ff285b37fb15e5e85,False,Enemy (1)'s Bullet,Room0,1,8.92,2,255,4,1.5999999,0.52
28/11/2023 16:15:29,NULL,runEnded,9a89dd797d5ddbcca2216a1975397d08,False,Enemy (3)'s Bullet,Room1,3,14.78,1,120,2,5.73,0.21
